업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
마라붐,서울특별시 중구 태평로2가 58-8 (2층) ,영업,20141113,,20241120.0
브이아이피 참치,서울특별시 중구 서소문동 120-14 (2층) ,영업,20080711,,20241120.0
호아빈,서울특별시 중구 서소문동 14-2 (1층) ,영업,20120529,,20241120.0
아리랑,서울특별시 중구 소공동 72-2 (1층) ,영업,20061222,,20241120.0
신당 한우곱창,서울특별시 중구 신당동 102-1 (1층)동 ,영업,20151109,,20241120.0
애성회관,서울특별시 중구 북창동 93-36 (1층) ,영업,20190905,,20241120.0
서울 삼계탕,서울특별시 중구 저동2가 17-8 (2층) ,영업,20071218,,20241120.0
참맛감자탕,서울특별시 중구 신당동 368-19 (1층) ,영업,20110628,,20241120.0
가나안,서울특별시 중구 신당동 374-10 (지상1층) ,영업,20110628,20201223.0,20201104.0
이화원,서울특별시 중구 신당동 336-3 명덕빌딩(지상2층) ,영업,20050907,20211220.0,20201104.0
뚱뚱이 할머니집,"서울특별시 중구 장충동1가 62-10 (지상1층,지상2층) ",영업,20201104,,20241120.0
코인,"서울특별시 중구 을지로2가 199-53 (지상2,3층) ",영업,20130715,20170828.0,20161214.0
조선정육식당,서울특별시 중구 소공동 81 (지상1층 104호) ,영업,20190905,,20241120.0
약수한방삼계탕,"서울특별시 중구 신당동 353-22 외3필지 JK오피스텔(지상1층 101,102,103호) ",영업,20050907,,20241120.0
김명자굴국밥전문점(북창점),서울특별시 중구 북창동 90-3 (지상1층) ,영업,20190905,20221229.0,20211220.0
남산등심,"서울특별시 중구 남산동1가 10-4 (지상1층,지상2층) ",영업,20241120,,
푸바오 미식성,서울특별시 중구 신당동 251-63 지하1층 ,영업,20121221,,20241120.0
장충동 진두부집,"서울특별시 중구 장충동2가 12-4 (지하1층,지상1층,2층) ",영업,20061222,,20241120.0
예원,서울특별시 중구 남창동 168-21 (지상2층) ,영업,20120529,20211220.0,20201104.0
신가원 설렁탕,"서울특별시 중구 을지로1가 46-2 (지상1층,2층) ",영업,20241120,,
어반가든(URBANGARDEN),서울특별시 중구 정동 28-2 (1층 2층) ,영업,20101112,,20241120.0
미소 로바다야끼,서울특별시 중구 초동 19-4 외2필지(지상1층103호) ,영업,20241120,,
황금목장(명동성당점),서울특별시 중구 명동2가 27-1 외1필지(지상3층) ,영업,20241120,,
속초집,서울특별시 중구 회현동1가 194-30 지하1층 ,영업,20181213,,20241120.0
